what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1304761888218
java.specification.name,sysinfo,,,"Java Platform API Specification",1304761888218
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304761888218
java.specification.version,sysinfo,,,"1.6",1304761888218
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304761888218
java.version,sysinfo,,,"1.6.0_25",1304761888218
java.vm.info,sysinfo,,,"mixed mode",1304761888218
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1304761888218
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304761888218
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304761888218
java.vm.specification.version,sysinfo,,,"1.0",1304761888218
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304761888218
java.vm.version,sysinfo,,,"20.0-b11",1304761888218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304761890153
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1304761900600
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1304761900600
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304761900729
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304761913825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304761950171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304761954974
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1304761958787
error,log,,,"Problems saving workspace",1304761965639
error,log,,,"Problems occurred while trying to save the state of the workbench.",1304761965641
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1304761965736
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1304761966170
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1304761966172
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1304761966174
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1304761966182
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1304761966187
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1304761966189
stopped,bundle,com.android.ide.eclipse.adt,10.0.0.v201102162101-104271,"com.android.ide.eclipse.adt",1304761966193
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1304761966196
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1304761966199
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1304761966202
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1304761966238
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1304761966240
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1304761966256
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1304761966259
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1304761966269
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1304761966272
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1304761966274
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1304761966275
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1304761966281
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1304761966284
